Trading Zone,Interval,ROPEX_DAM_H [Euro/MWh],Traded Volume [MWh],Traded Buy Volume [MWh],Traded Sell Volume [MWh]
Romania,1,72.46,2410.9,852.1,2410.9
Romania,2,70.66,2611.3,737.7,2611.3
Romania,3,66.19,2752.5,630.2,2752.5
Romania,4,65.05,2678.8,660.9,2678.8
Romania,5,67.1,2665.3,719.8,2665.3
Romania,6,80.0,2671.9,914.0,2671.9
Romania,7,108.89,2634.5,753.3,2634.5
Romania,8,128.9,2617.1,827.0,2617.1
Romania,9,124.72,2491.8,1052.3,2491.8
Romania,10,48.78,2472.0,1273.5,2472.0
Romania,11,16.0,2461.7,1285.7,2461.7
Romania,12,41.95,2292.9,1241.4,2292.9
Romania,13,40.0,2299.7,1309.1,2299.7
Romania,14,42.4,2275.0,1170.2,2275.0
Romania,15,55.93,2226.0,1247.6,2226.0
Romania,16,92.48,2306.2,1099.0,2306.2
Romania,17,104.08,2302.3,1108.0,2302.3
Romania,18,121.83,2475.4,909.5,2475.4
Romania,19,128.17,2455.8,1050.5,2455.8
Romania,20,141.97,2377.1,1112.5,2377.1
Romania,21,123.54,2354.8,962.0,2354.8
Romania,22,110.01,2208.8,802.1,2208.8
Romania,23,100.37,2274.2,888.9,2274.2
Romania,24,81.09,2382.3,850.1,2382.3
